"year","road_type","road_nm","volume"
2019,"도심","퇴계로(신당역)",46455
2019,"도심","동호로(장충체육관)",62588
2019,"도심","장충단로(장충단공원)",54119
2019,"도심","퇴계로(회현역)",32945
2019,"도심","세종대로(서울역)",61168
2019,"도심","새문안로(서울역사박물관)",48852
2019,"도심","종로(종로3가역)",46327
2019,"도심","서소문로(시청역)",49602
2019,"도심","세종대로(시청역2)",76671
2019,"도심","을지로(을지로3가역)",34244
2019,"도심","칠패로(숭례문)",18494
2019,"도심","남산1호터널",70070
2019,"도심","남산2호터널",26395
2019,"도심","남산3호터널",38341
2019,"도심","소월로(회현역)",14359
2019,"도심","소파로(숭의여자대학교)",13662
2020,"도심","성산로(금화터널)",64560
2020,"도심","사직로(사직터널)",70637
2020,"도심","자하문로(자하문터널)",30570
2020,"도심","대사관로(삼청터널)",11832
2020,"도심","율곡로(안국역)",55353
2020,"도심","창경궁로(서울여자대학교)",39000
2020,"도심","대학로(한국방송통신대학교)",35754
2020,"도심","종로(동묘앞역)",52449
2020,"도심","퇴계로(신당역)",44075
2020,"도심","동호로(장충체육관)",54133
2020,"도심","장충단로(장충단공원)",48378
2020,"도심","퇴계로(회현역)",29686
2020,"도심","세종대로(서울역)",53936
2020,"도심","새문안로(서울역사박물관)",45749
2020,"도심","종로(종로3가역)",42628
2020,"도심","서소문로(시청역)",46063
2020,"도심","세종대로(시청역2)",69782
2020,"도심","을지로(을지로3가역)",32305
2020,"도심","칠패로(숭례문)",16897
2020,"도심","남산1호터널",63920
2020,"도심","남산2호터널",20999
2020,"도심","남산3호터널",33026
2020,"도심","소월로(회현역)",12169
2020,"도심","소파로(숭의여자대학교)",10097
2021,"도심","성산로(금화터널)",61628
2021,"도심","사직로(사직터널)",68168
2021,"도심","자하문로(자하문터널)",29086
2021,"도심","대사관로(삼청터널)",11963
2021,"도심","율곡로(안국역)",52628
2021,"도심","창경궁로(서울여자대학교)",38112
2021,"도심","대학로(한국방송통신대학교)",33772
2021,"도심","종로(동묘앞역)",50765
2021,"도심","퇴계로(신당역)",41021
2021,"도심","동호로(장충체육관)",52273
2021,"도심","장충단로(장충단공원)",47768
2021,"도심","퇴계로(회현역)",29730
2021,"도심","세종대로(서울역)",53578
2021,"도심","새문안로(서울역사박물관)",45839
2021,"도심","종로(종로3가역)",41143
2021,"도심","서소문로(시청역)",42890
2021,"도심","세종대로(시청역2)",61490
2021,"도심","을지로(을지로3가역)",31220
2021,"도심","칠패로(숭례문)",16232
2021,"도심","남산1호터널",63685
2021,"도심","남산2호터널",19913
2021,"도심","남산3호터널",31989
2021,"도심","소월로(회현역)",11306
2021,"도심","소파로(숭의여자대학교)",9618
2018,"도시고속","올림픽대로",254555
2018,"도시고속","강변북로",245296
2018,"도시고속","내부순환로",151870
2018,"도시고속","북부간선도로",113707
2018,"도시고속","동부간선도로",142332
2018,"도시고속","경부고속도로",205078
2018,"도시고속","분당수서로",139487
2018,"도시고속","강남순환로(관악터널)",71498
2018,"도시고속","서부간선도로",109027
2019,"도시고속","올림픽대로",254969
2019,"도시고속","강변북로",241143
2019,"도시고속","내부순환로",147216
2019,"도시고속","북부간선도로",113199
2019,"도시고속","동부간선도로",143081
2019,"도시고속","경부고속도로",206126
2019,"도시고속","분당수서로",138940
2019,"도시고속","강남순환로(관악터널)",77652
2019,"도시고속","서부간선도로",110603
2020,"도시고속","올림픽대로",244332
2020,"도시고속","강변북로",230067
2020,"도시고속","내부순환로",140897
2020,"도시고속","북부간선도로",108305
2020,"도시고속","동부간선도로",137834
2020,"도시고속","경부고속도로",194220
2020,"도시고속","분당수서로",137139
2020,"도시고속","강남순환로(관악터널)",83404
2020,"도시고속","서부간선도로",104479
2021,"도시고속","올림픽대로",243077
2021,"도시고속","강변북로",225665
2021,"도시고속","내부순환로",138821
2021,"도시고속","북부간선도로",105921
2021,"도시고속","동부간선도로",133006
2021,"도시고속","경부고속도로",192269
2021,"도시고속","분당수서로",134216
2021,"도시고속","강남순환로(관악터널)",90451
2021,"도시고속","서부간선도로",95170
