"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2014,"송파구","용도지역","제1종전용주거지역",174,76201,118800176000,1559037
2014,"강서구","용도지역","제1종전용주거지역",799,158209,222707777700,1407681
2014,"노원구","용도지역","제1종전용주거지역",69,13703,18284758700,1334362
2014,"종로구","용도지역","제1종전용주거지역",2601,1542295,1944326714900,1260671
2014,"광진구","용도지역","제1종전용주거지역",25,145307,151210090000,1040625
2014,"강남구","용도지역","제2종일반주거지역",13017,8083104.1,42699961566770,5282619
2014,"서초구","용도지역","제2종일반주거지역",11738,5406096,27602268595070,5105767
2014,"용산구","용도지역","제2종일반주거지역",18913,3741264,14811929854970,3959071
2014,"강동구","용도지역","제2종일반주거지역",17523,7971674.6,26023028741270,3264437
2014,"송파구","용도지역","제2종일반주거지역",20940,8458671,27395014473400,3238690
2014,"중구","용도지역","제2종일반주거지역",10279,1800155.7,5205251074010,2891556
2014,"마포구","용도지역","제2종일반주거지역",32096,7466351.8,20617171122760,2761345
2014,"종로구","용도지역","제2종일반주거지역",16800,2878371,7929040451400,2754697
2014,"광진구","용도지역","제2종일반주거지역",18971,5580816.4,14682085333760,2630813
2014,"동작구","용도지역","제2종일반주거지역",23096,5864800.7,14335537846920,2444335
2014,"양천구","용도지역","제2종일반주거지역",16316,6086761.8,14291880704160,2348027
2014,"서대문구","용도지역","제2종일반주거지역",24249,4509204.3,10540590710760,2337572
2014,"성동구","용도지역","제2종일반주거지역",15559,4382038.6,10107747621450,2306631
